country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
934	Less developed regions, excluding least developed countries	-674.2875	-9784.2185	-23967.559	-25806.471	-27106.4605	-27586.12	-28942.935	-30139.8805	-31679.2895	-32794.9125	-33951.756	-36414.4615	-37333.747	-37918.7045	-40095.5665	-40841.352	-41677.169
948	Less developed regions, excluding China	-1034.369	-15804.098	-24883.925	-25265.212	-26279.141	-26526.543	-27566.5375	-27584.8655	-28177.345	-29158.0235	-30007.6505	-30554.154	-31702.6685	-32677.2915	-32975.786	-34157.206	-34853.1325
1636	Land-locked Developing Countries (LLDC)	131.9295	-6602.181	-17483.031	-18796.5045	-20987.8065	-22528.9565	-25527.0895	-27474.051	-29550.849	-31101.2215	-33845.261	-35203.486	-38531.3905	-40620.2125	-43535.0105	-44158.497	-47610.9495
2087	LLDC: Africa	-1.65	-3370.4965	-13254.2195	-14646.426	-15782.3925	-17166.686	-19082.075	-21033.272	-22108.9965	-23873.5555	-26634.272	-27993.1905	-30491.7045	-31788.144	-34087.9275	-34790.4355	-36649.9155
2088	LLDC: Asia	168.455	-5748.0815	-13327.443	-14423.1815	-16693.548	-18400.2855	-20455.7135	-23313.818	-25117.0245	-26423.1565	-28894.1085	-30497.8365	-33166.514	-36126.8335	-39590.209	-40775.544	-44383.718
2089	LLDC: Europe	-28.4315	-89.834	-262.8315	-264.8315	-267.466	-259.8175	-246.8745	-230.294	-219.1105	-206.5785	-197.3395	-183.8395	-177.0525	-165.0285	-149.918	-144.231	-144.98
2090	LLDC: Latin America	-6.4445	-93.275	-192.068	-236.0655	-270.7915	-297.469	-310.2715	-331.62	-353.612	-363.1145	-381.548	-401.9545	-419.3415	-418.0965	-412.023	-416.3835	-411.949
1637	Small Island Developing States (SIDS)	-112.442	-851.1215	-1873.855	-1974.7755	-2026.795	-2025.288	-2004.979	-2134.562	-2202.402	-2284.577	-2359.0145	-2288.907	-2421.0735	-2546.563	-2542.235	-2547.1015	-2679.989
2091	SIDS Caribbean	-37.956	-568.7665	-999.2815	-998.946	-946.9035	-872.6475	-779.247	-762.869	-751.285	-721.6395	-705.834	-716.981	-701.7005	-671.512	-641.0305	-633.6825	-627.5225
2092	SIDS Pacific	-1.1835	-253.934	-762.839	-837.8495	-956.0725	-1039.112	-1116.0845	-1168.0275	-1202.8415	-1278.639	-1314.774	-1311.8725	-1427.9505	-1485.0895	-1513.4905	-1554.4795	-1543.789
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	-73.3025	-82.465	-930.888	-1004.507	-1049.5105	-1049.002	-1074.076	-1109.541	-1158.541	-1192.4055	-1283.3555	-1355.4105	-1388.601	-1467.4265	-1426.4785	-1394.912	-1544.055
